num_speakers	Transcript_ID	NomeFile	Audio	Annotatore	Revisore	Tipo	Esperto	Accurato	MinutiEsperienza	Sec30	Sec60	Sec90	Sec120	SecAssegnazione	num_tu::0	num_tu::1	num_tu::2	num_tu::3	num_tu::4	num_tu::5	num_tu::6	num_tu::7	num_tu::8	num_ling_tu::0	num_ling_tu::1	num_ling_tu::2	num_ling_tu::3	num_ling_tu::4	num_ling_tu::5	num_ling_tu::6	num_ling_tu::7	num_ling_tu::8	tokens_per_minute::0	tokens_per_minute::1	tokens_per_minute::2	tokens_per_minute::3	tokens_per_minute::4	tokens_per_minute::5	tokens_per_minute::6	tokens_per_minute::7	tokens_per_minute::8	transcribed_minutes::0	transcribed_minutes::1	transcribed_minutes::2	transcribed_minutes::3	transcribed_minutes::4	transcribed_minutes::5	transcribed_minutes::6	transcribed_minutes::7	transcribed_minutes::8	intonation_patterns_min::0	intonation_patterns_min::1	intonation_patterns_min::2	intonation_patterns_min::3	intonation_patterns_min::4	intonation_patterns_min::5	intonation_patterns_min::6	intonation_patterns_min::7	intonation_patterns_min::8	avg_tokens_per_min::0	avg_tokens_per_min::1	avg_tokens_per_min::2	avg_tokens_per_min::3	avg_tokens_per_min::4	avg_tokens_per_min::5	avg_tokens_per_min::6	avg_tokens_per_min::7	avg_tokens_per_min::8	slow_pace_spans::0	slow_pace_spans::1	slow_pace_spans::2	slow_pace_spans::3	slow_pace_spans::4	slow_pace_spans::5	slow_pace_spans::6	slow_pace_spans::7	slow_pace_spans::8	fast_pace_spans::0	fast_pace_spans::1	fast_pace_spans::2	fast_pace_spans::3	fast_pace_spans::4	fast_pace_spans::5	fast_pace_spans::6	fast_pace_spans::7	fast_pace_spans::8	overlapping_spans::0	overlapping_spans::1	overlapping_spans::2	overlapping_spans::3	overlapping_spans::4	overlapping_spans::5	overlapping_spans::6	overlapping_spans::7	overlapping_spans::8
2	01_ParlaBOA_M	01_ParlaBOA_M	ParlaBO_A	M	-	From-Scratch	no			48	90	149	212	-	29	56	79	89	0	0	0	0	0	28	55	78	88	0	0	0	0	0	165	350	522	602	0	0	0	0	0	56.13200000000001	116.24599999999997	171.962	200.196	0.0	0.0	0.0	0.0	0.0	1	4	6	8	0	0	0	0	0	5.689655172413793	6.25	6.6075949367088604	6.764044943820225	0.0	0.0	0.0	0.0	0.0	1	6	6	6	0	0	0	0	0	0	1	2	3	0	0	0	0	0	18	38	48	50	0	0	0	0	0
2	01_ParlaBOB_N	01_ParlaBOB_N	ParlaBO_B	N	-	From-Scratch	no			64	117	180	187	-	24	48	65	69	0	0	0	0	0	24	47	64	68	0	0	0	0	0	169	346	501	516	0	0	0	0	0	55.65500000000001	108.698	162.66399999999996	169.31699999999995	0.0	0.0	0.0	0.0	0.0	3	4	21	21	0	0	0	0	0	7.041666666666667	7.208333333333333	7.707692307692308	7.478260869565218	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	7	12	17	17	0	0	0	0	0	11	24	24	24	0	0	0	0	0
2	01_ParlaBOA_E	01_ParlaBOA_E	ParlaBO_A	E	-	From-Scratch	sì			117	268	378	503	-	23	48	67	86	106	127	150	169	176	23	48	66	85	105	126	149	167	174	161	342	508	664	837	1026	1217	1372	1442	56.495	114.65100000000001	169.285	223.45999999999998	277.75399999999996	335.78499999999985	395.89499999999975	450.5429999999998	474.92099999999976	0	4	5	5	5	5	6	6	6	7.0	7.125	7.582089552238806	7.72093023255814	7.89622641509434	8.078740157480315	8.113333333333333	8.118343195266272	8.193181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	38	46	52	66	81	95	103	104
